ORIGINAL,REPLACEMENT,OCCURRENCE
CODEINE PHOSPHATE AND ACETAMINOPHEN,CODEINE,675
DIAMORPHINE (DIAMORPHINE),HEROIN,45
FLUOXETINE HCL,FLUOXETINE,3227
TRAMADOL (TRAMADOL),TRAMADOL,45
ACETYLSALICYLIC ACID SRT,ACETYLSALICYLIC ACID,16999
BENDROFLUMETHIAZINE (BENDROFLUMETHIAZINE),BENDROFLUMETHIAZIDE,1
EPANUTIN (PHENYTOIN SODIUM),PHENYTOIN,28
ZOPICLONE (ZOPICLONE),ZOPICLONE,883
DOMPERIDONE (DOMPERIDONE),DOMPERIDONE,557
RELPAX,ELETRIPTAN,2505
CISAPRIDE (CISAPRIDE) TABLETS,CISAPRIDE,38
HUMULIN N,"INSULIN, ISOPHANE",6971
HUMULIN R,INSULIN REGULAR,7277
HUMULIN-HUMAN INSULIN (RDNA) UNKNONW UNFORMULATION (HU,"INSULIN, ISOPHANE",1
ILETIN,CYTARABINE,402
LENTE,CARBACHOL,26
"SIROLIMUS (SIROLIMUS, TABLET, 0)",SIROLIMUS,23
URSO,URSODEOXYCHOLIC ACID,722
HUMULIN 70/30,"INSULIN, ISOPHANE",4821
GALANTAMINE- BLINDED (GALANTAMINE) TABLETS,GALANTAMINE,2
CLOBAZAM (CLOBAZAM),CLOBAZAM,166
ZONISAMIDE (ZONISAMIDE),ZONISAMIDE,38
STRATTERA,ATOMOXETINE,16207
FORTEO,TERIPARATIDE,66228
TRIMETHOPRIM/SULFAMETHIOXAZOLE (BACTRIM),TRIMETHOPRIM,1
BETACAROTENE (BETACAROTENE),ATENOLOL,37
COREG (CARVEDILOL) (6.25 MILLIGRAM),CARVEDILOL,2
DARVON,PROPOXYPHENE,1321
GEMCITABINE (GEMCITABINE),GEMCITABINE,80
NORVASC (AMLODIPINE BESILATE) (5 MILLIGRAM),AMLODIPINE,3
VITAMIN SUPPLEMENTS (VITAMINS),VITAMIN E,8
DESFERAL,DEFEROXAMINE,972
TRISENOX,ARSENIC TRIOXIDE,1096
GLIBENCLAMIDE (GLIBENCLAMIDE) UNKNOWN,GLYBURIDE,1
BUSPIRONE (BUSPIRONE),BUSPIRONE,3
ESTROGEN NOS (ESTROGENS NOS),CONJUGATED ESTROGENS,11
ORLISTAT (ORLISTAT),ORLISTAT,27
ULTRACET,CEFADROXIL,3008
LIDOCAINE HCL,LIDOCAINE,298
SALBUTAMOL (SALBUTAMOL),SALBUTAMOL,1014
SALMETEROL (SALMETEROL),SALMETEROL,156
HUMALOG MIX 75/25,INSULIN LISPRO,4061
SEROPRAM (CITALOPRAM HYDROBROMIDE),CITALOPRAM,130
DILTIAZEM HCL,DILTIAZEM,5572
MOTILIUM,DOMPERIDONE,2644
"PERINDOPRIL (PERINDOPRIL, )",PERINDOPRIL,2
CORDARONE,AMIODARONE,7541
XIGRIS,DROTRECOGIN ALFA,2233
CALCIUM CARBONATE (CALCIUM CARBONATE),CALCIUM CARBONATE,659
CELESTON (BETAMETHASONE),BETAMETHASONE,4
"CLEXANE (HEPARIN-FRACTION, SODIUM SALT)",ENOXAPARIN,9
DORMICUM (NITRAZEPAM),MIDAZOLAM,26
GARAMYCIN,GENTAMICIN,157
AVONEX,INTERFERON BETA-1A,119488
DOLIPRANE,ACETAMINOPHEN,1885
BIPERIDEN HYDROCHLORIDE,BIPERIDEN,170
DIAZEPAM (UNSPECIFIED) DIAZEPAM,DIAZEPAM,1
PROLEUKIN,ALDESLEUKIN,848
SERENACE (HALOPERIDOL),HALOPERIDOL,33
MAREVAN,WARFARIN,552
SELO-ZOK,METOPROLOL,347
HUMATROPE,SOMATROPIN RECOMBINANT,2134
SUSTANON,TESTOSTERONE,86
AKINETON,BIPERIDEN,2569
CHLORPROMAZINE HCL,CHLORPROMAZINE,777
DOGMATIL,SULPIRIDE,158
FLUMEZIN,BENDROFLUMETHIAZIDE,13
PROHEPARUM,CYCLOBENZAPRINE,304
PROMETHAZINE HCL,PROMETHAZINE,1059
ZYLORIC ^GLAXO WELLCOME^,ALLOPURINOL,60
DEPAKOTE (VALPORATE SEMISODIUM),VALPROIC ACID,10
MYCOPHENOLATE MOFETIL(MYCOPHENOLATE MOFETIL),MYCOPHENOLATE MOFETIL,27
DOSTINEX,CABERGOLINE,1124
ANDROGEL,TESTOSTERONE,4058
DDAVP,DESMOPRESSIN,694
ENALPRIL,ENALAPRIL,6
MAXZIDE,DEXAMETHASONE,3620
TALWIN,PENTAZOCINE,187
CALCIUM AND VITAMIN D,CALCIUM ACETATE,430
LOTREL,AMLODIPINE,7807
ARBEKACIN (ARBEKACIN),ARBEKACIN,12
FLUVASTATIN SODIUM (FLUVASTATIN SODIUM),FLUVASTATIN,20
MONTELUKAST SODIUM (MONTELUKAST SODIUM),MONTELUKAST,224
PROCATEROL HYDROCHLORIDE (PROCATEROL HYDROCHLORIDE),PROCATEROL,8
GLICLAZIDE (DIAMICRON),GLICLAZIDE,2
PULMICORT,BUDESONIDE,6314
SIMVASTATIN (LODALES),SIMVASTATIN,1
KETOPROFON,KETOPROFEN,1
ACTONEL,RISEDRONATE,15760
CALCIUM CITRATE (CALCIUM CITRATE),LEUCOVORIN,109
ALCOHOL,ETHANOL,4942
ENALAPRIL MALEATE AND HYDROCHLOROTHIAZIDE,ENALAPRIL,700
BEZALIP (BEZAFIBRATE),BEZAFIBRATE,6
"PANTOLOC (PANTOPRAZOLE, TABLET, DELAYED RELEASE)",PANTOPRAZOLE,23
FLUCTINE (FLUOXETINE HYDROCHLORIDE),FLUOXETINE,4
NORADRENALINE,NOREPINEPHRINE,742
RITODRINE HYDROCHLORIDE,RITODRINE,173
GLUCAGON,GLUCAGON RECOMBINANT,494
CEFMETAZON (CEFMETAZOLE SODIUM),CEFMETAZOLE,18
GLYCYRON,METFORMIN,717
PERIACTIN,CYPROHEPTADINE,952
INSULIN-INSULIN-ANIMAL (UNKNOWN FORMULATION) (INSUL,INSULIN REGULAR,13
NOVOLOG,INSULIN ASPART,10873
HUMULIN L,"INSULIN, ISOPHANE",477
HUMULIN-HUMAN INSULIN (RDNA) UNKNOWN FORMULATION (HU,"INSULIN, ISOPHANE",27
GEMZAR,GEMCITABINE,9639
MULTIVITAMIN,ISOSORBIDE MONONITRATE,8528
DURAGESIC,FENTANYL,4556
DITROPAN,OXYBUTYNIN,2983
ZANAFLEX,TIZANIDINE,4882
LEUSTATIN,CLADRIBINE,431
POTASSIUM (POTASSIUM),POTASSIUM,1467
ESCITALOPRAM OXALATE (ALL OTHER THERAPEUTIC PRODUCTS),ESCITALOPRAM,2
FERROUS SUFLATE (FERROUS SULFATE),IRON,1
NIZORAL,KETOCONAZOLE,1022
CLONIDINE HYDROCHLORIDE TABLETS (CLONIDINE),CLONIDINE,1
"HUMALOG-HUMAN INSULIN (RDNA): 25% LIPSRO, 75% NPL (LI",INSULIN LISPRO,1
"HUMALOG-HUMAN INSULIN (RDNA): 25% LISPPRO, 75% NPL (LI",INSULIN LISPRO,1
IMDUR,ISOSORBIDE MONONITRATE,6285
VITAMIN D,ERGOCALCIFEROL,36460
UNIPHYL,THEOPHYLLINE,1034
HYDROCODONE BITARTRATE,HYDROCODONE,8622
NARCAN,NALOXONE,326
ACETAMINOPHEN (PARACETAMOL) CASPULE,ACETAMINOPHEN,1
ETHANOL (ETHANOL),ETHANOL,959
AMPHETAMINE SULFATE,AMPHETAMINE,436
LANOXIN,DIGOXIN,6932
GLUCOBAY,ACARBOSE,1442
STARSIS,NATEGLINIDE,293
MAGNEVIST,GADOPENTETATE DIMEGLUMINE,13152
CAPECITIBINE 2.0 GM/M2,CAPECITABINE,1
PEG-INTRON,PEGINTERFERON ALFA-2B,13013
REBETOL,RIBAVIRIN,11331
DAUNORUBICIN HCL,DAUNORUBICIN,3100
CLOMIPRAMINE HCL,CLOMIPRAMINE,963
WELLBUTRIN XL,BUPROPION,9753
CALCIUM BLOCKERS,CALCIUM CHLORIDE,4
CIALIS,TADALAFIL,8239
NICARDIPINE HCL,NICARDIPINE,1238
NEULEPTIL (PERICIAZINE),PROPERICIAZINE,28
IMOVANE (ZOPICLONE),ZOPICLONE,485
MARCUMAR,PHENPROCOUMON,3207
TEGRETAL - SLOW RELEASE (CARBAMAZEPINE),CARBAMAZEPINE,3
HALDOL ^JANSSEN-CILAG^,HALOPERIDOL,1
XIMOVAN ^AVENTIS PHARMA^,ZOPICLONE,5
CELLCEPT                                /USA/,MYCOPHENOLATE MOFETIL,2
SOPROL,BISOPROLOL,110
VASOBRAL,PAPAVERINE,43
VASTEN,PRAVASTATIN,429
ARIMIDEX,ANASTROZOLE,12672
NOLVADEX,TAMOXIFEN,1798
CEFASEL,CEPHALEXIN,19
FEMARA,LETROZOLE,7910
METICORTEN,PREDNISONE,709
CAPTOPRIL AND HYDROCHLOROTHIAZIDE,CAPTOPRIL,113
CONCOR,BISOPROLOL,1173
INSUMAN,FLURAZEPAM,58
CARDIOASPIRIN,PAPAVERINE,88
DAFALGAN,ACETAMINOPHEN,2207
ISOPTIN TAB,VERAPAMIL,51
PONSTAN,MEFENAMIC ACID,102
TENORMIN,ATENOLOL,8396
HIDANTAL (PHENYTOIN),PHENYTOIN,22
INTERFERON,INTERFERON BETA-1B,2067
ZEFFIX,LAMIVUDINE,575
FLOXAPEN,FLUCLOXACILLIN,61
LIORESAL,BACLOFEN,11165
ESTRACE,ESTRADIOL,5866
LOSEC I.V.,OMEPRAZOLE,281
PROMETRIUM,PROGESTERONE,2155
SERC,BETAHISTINE,254
ATROVENT,IPRATROPIUM BROMIDE,8359
CEFTAZIDIME PENTAHYDRATE,CEFTAZIDIME,114
AMINOTRIPA 1,AMINOSALICYLIC ACID,33
CAPISTEN (KETOPROFEN),KETOPROFEN,4
CEFOPERAZONE SODIUM/SULBACTAM SODIUM),CEFOPERAZONE,2
INTRALIPID,CLOFIBRATE,7
MINERALIN,BUSULFAN,74
NOVOLIN R,INSULIN REGULAR,2337
VITAMIN CAP,VITAMIN C,2930
TETRAZEPAM,TEMAZEPAM,570
HYDROMORPHONE HCL,HYDROMORPHONE,4963
DI-ANTALVIC,PROPOXYPHENE,768
EPIRUBICIN HCL,EPIRUBICIN,323
RALOXIFENE HCL,RALOXIFENE,823
TRAMADOL HCL,TRAMADOL,25287
ACERCOMP,LISINOPRIL,44
VECURONIUM BROMIDE,VECURONIUM,1884
PERSANTIN (DIPYRIDAMOLE),DIPYRIDAMOLE,2
ONCOVIN,VINCRISTINE,2097
CALCIUMFOLINAT (CALCIUM FOLINATE),CALCIUM,1
ELOXATIN,OXALIPLATIN,4305
ULCOGANT (SUCRALFATE),SUCRALFATE,5
ANTISTAX,ANTAZOLINE,13
CORTISONE,HYDROCORTISONE,2033
PARKINSON  DRUG,ETHOPROPAZINE,1
RHINOCORT,BUDESONIDE,3578
SELEGILINE HCL,SELEGILINE,635
PERGOLIDE MESYLATE,PERGOLIDE,410
EFAVIRENZ (FORMULATION UNKNOWN) (EFAVIRENZ),EFAVIRENZ,14
RETROVIR,ZIDOVUDINE,2963
GLUCOSAMINE (GLUCOSAMINE),N-ACETYL-D-GLUCOSAMINE,607
"INFLIXIMAB (INFLIXIMAB, RECOMBINANT) LYOPHILIZED POWDER",INFLIXIMAB,795
SALAGEN,PILOCARPINE,604
DARVOCET (PROPACET),ACETAMINOPHEN,50
PLENDIL,FELODIPINE,2006
CALCIUM + D (CALCIUM),EDETIC ACID,29
GLUCOSAMINE/CHONDROITIN (GLUCOSAMINE W/CHONDROITIN SULFATES),N-ACETYL-D-GLUCOSAMINE,11
HUMALOG INSULIN (INSULIN LISPRO),INSULIN LISPRO,37
HUMIRA,ADALIMUMAB,166029
METHOTREXATE SODIUM,METHOTREXATE,5439
HYDROCHLAQUINE,HYDROCHLOROTHIAZIDE,1
FOLATE,FOLIC ACID,979
ASACOL,MESALAZINE,5343
FLAGYL,METRONIDAZOLE,7491
CORTICOSTEROIS,CORTICOTROPIN,1
LOSARTAN POTASSIUM,LOSARTAN,9815
SALURES K MITE,BENDROFLUMETHIAZIDE,2
NAVELBINE,VINORELBINE,3329
MOPRAL 20 (OMEPRAZOLE),OMEPRAZOLE,4
CLINORIL,SULINDAC,760
FOLIAMIN (FOLIC ACID),FOLIC ACID,36
RHEUMATREX,METHOTREXATE,7283
DIOVAN HCT,VALSARTAN,10458
AZMACORT,TRIAMCINOLONE,1400
FLONASE,FLUTICASONE PROPIONATE,12806
MAXAIR,PIRBUTEROL,1058
THEO-24,THEOPHYLLINE,162
DOBUTAMINE HCL,DOBUTAMINE,1344
MIDAZOLAM HCL,MIDAZOLAM,4909
PANTOZOL (PANTOPRAZOLE SODIUM),PANTOPRAZOLE,227
PERFAN (ENOXIMONE),ENOXIMONE,1
SUFENTA,SUFENTANIL,414
THYRAX (LEVOTHYROXINE),LEVOTHYROXINE,29
SOSTRIL (RANITIDINE HYDROCHLORIDE),RANITIDINE,2
KLONOPIN,CLONAZEPAM,20941
REMERON,MIRTAZAPINE,8281
ACCUTANE,TRETINOIN,26681
BETAPACE,SOTALOL,1042
GEMCITABINE HYDROCHLORIDE-IV (GEMCITABINE),GEMCITABINE,398
CERAZETTE (DESOGESTREL),DESOGESTREL,48
DETROL,TOLTERODINE,4535
VITAMINS NOS,BIOTIN,1854
TYLENOL PM (TYLENOL PM),ACETAMINOPHEN,49
TRIAMTERENE (TRIAMTERENE),TRIAMTERENE,259
GLUCOPHAGE ^UNS^,METFORMIN,41
GEMCITABINE HYDROCHLORIDE-IV  (GEMCITABINE),GEMCITABINE,3
AMEVIVE,ALEFACEPT,2654
ISORDIL,ISOSORBIDE DINITRATE,986
GEMCITABINE HYDROCHLORIDE (GEMCITABINE),GEMCITABINE,2
MOTRIN,IBUPROFEN,8884
DOBUTREX,DOBUTAMINE,556
ANTIVERT,MECLIZINE,1208
SENADRYL,MEPROBAMATE,1
FLOLAN,EPOPROSTENOL,2499
FOSEMIDE,FUROSEMIDE,2
ISOSORBIDE,ISOSORBIDE MONONITRATE,3014
K-TAB,POTASSIUM CHLORIDE,437
LUVOX,FLUVOXAMINE,1970
DEXAMETHASONE SODIUM PHOSPHATE,DEXAMETHASONE,2811
MS CONTIN,MORPHINE,6160
ANDAXIN (MEPROBAMATE),MEPROBAMATE,1
PRINZIDE,ISOPROPAMIDE,928
BACTROBAN (MUPIROCIN),MUPIROCIN,33
TERIPARATIDE (TERIPARATIDE) INJECTION,TERIPARATIDE,2
TOPROL (METOPROLOL SUCCINATE),METOPROLOL,118
IMURAN,AZATHIOPRINE,7470
ENTOCORT (BUDESONIDE),BUDESONIDE,48
LEUKINE,SARGRAMOSTIM,1373
CALCIUM (CALCIUM),CALCIUM CARBONATE,2741
PROVERA,MEDROXYPROGESTERONE,31334
COLCHICINE (COLCHICINE),COLCHICINE,276
MESALAZINE (MESALAZINE),MESALAZINE,28
THALOMID,THALIDOMIDE,17194
FENTANYL (FENTANYL) (POULTICE OR PATCH),FENTANYL,35
ALEVE (CAPLET),NAPROXEN,20096
ALEVE,NAPROXEN,12683
MANTADIX,AMANTADINE,118
PAROXETINE 20 MGS APOTEX,PAROXETINE,1
CYCLOBENZAPRINE HYDROCHLORIDE,CYCLOBENZAPRINE,1010
PROPACET 100,PROPOXYPHENE,1078
SYNAGIS,PALIVIZUMAB,6631
ENOXAPARIN OR PLACEBO VS. HEPARIN OR PLACEBO,ENOXAPARIN,31
STREPTOKINASE (STREPTOKINASE),STREPTOKINASE,20
CALCIPOTRIENE,CALCIPOTRIOL,190
CALCIUM 500MG/VITAMIN D,LEUCOVORIN,9
CLOBETASOL PROPIONATE,CLOBETASOL,1800
HYDROCODONE 5/ ACETAMINOPHEN,HYDROCODONE,6
TERIPARATIDE 750MCG/ 3ML LILLY,TERIPARATIDE,1
TRIAMCINOLONE ACETONIDE,TRIAMCINOLONE,1397
SEREVENT,SALMETEROL,6680
ARTICAINE,LIDOCAINE,18
MEDICATION (NOS),DEXTROMETHORPHAN,288
SUDAFED 30MG,PSEUDOEPHEDRINE,1
PENTASA,MESALAZINE,5621
PREDONIN (PREDNISOLONE) UNSPECIFIED,PREDNISOLONE,2
CLODRONIC ACID,CLODRONATE,70
DIPYRONE TAB,AMINOPHENAZONE,977
HISTAMINE DIPHOSPHATE,HISTAMINE PHOSPHATE,2
METOCLOPRAMIDE HYDROCHLORIDE,METOCLOPRAMIDE,3615
ROFERON-A,"INTERFERON ALFA-2A, RECOMBINANT",608
MOXIFLOXACIN HCL,MOXIFLOXACIN,1193
GLUCOTROL XL,GLIPIZIDE,2563
GLUCOVANCE,GLYBURIDE,4091
LOTRONEX,ALOSETRON,685
IMIGRAN,SUMATRIPTAN,397
ZYBAN,BUPROPION,2249
ENDEP,AMITRIPTYLINE,287
THYROXINE,LEVOTHYROXINE,864
EUCARDIC,DEXRAZOXANE,19
D-CHLORPHENIRAMINE MALEATE,CHLORPHENIRAMINE,34
LOPINAVIR + RITONAVIR,LOPINAVIR,137
MEPIRIZOLE,MEPROBAMATE,12
CLAMOXYL,AMOXICILLIN,1026
DIPRIVAN,PROPOFOL,3275
ARIPIPRAZOLE-ABIL 30 MG BRISTOL MYERS SQUIBB,ARIPIPRAZOLE,1
INTERFERON (INTERFERON),INTERFERON BETA-1B,83
PARACETAMOL (PARACETAMOL),ACETAMINOPHEN,453
COMBIVIR,PROCHLORPERAZINE,7443
DUPHALAL,LACTULOSE,1
MACROLIN,NITROFURANTOIN,134
SUBUTEX,BUPRENORPHINE,2837
VOLTARENE ^CIBA-GEIGY^ (DICLOFENAC SODIUM),DICLOFENAC,3
DROTRECOGIN 20 MG,DROTRECOGIN ALFA,1
INSULIN (NOS),INSULIN LISPRO,30
ANTIDEPRESSANT (UNSPECIFIED),IMIPRAMINE,24
ALBUTEROL NEBULIZER TREATMENT,SALBUTAMOL,4
LEVITRA,VARDENAFIL,8039
WELCHOL,COLESEVELAM,2405
CORTISONE (CORTISONE),HYDROCORTISONE,100
EPOGEN,EPOETIN ALFA,8461
"HUMULIN-HUMAN INSULIN(RDNA) : 30% REGULAR, 70% NPH9H","INSULIN, ISOPHANE",1
CARDURA,DOXAZOSIN,4044
SPORANOX,ITRACONAZOLE,1539
NOVOLIN N,"INSULIN, ISOPHANE",1641
CARDIZEM,DILTIAZEM,7471
LOTENSIN,BENAZEPRIL,3124
SOTALOL HCL,SOTALOL,3686
ARICEPT,DONEPEZIL,11321
MESTINON,PYRIDOSTIGMINE,913
CALCIUM WITH VITAMIN D,CALCIUM ACETATE,4418
INDOCIN,INDOMETHACIN,1797
VITAMIN D (UNSPECIFIED),ERGOCALCIFEROL,1956
AMLODIN,AMLODIPINE,1967
PEPCID RPD,FAMOTIDINE,1105
CEFOTIAM HYDROCHLORIDE,CEFOTIAM,452
GLYCEOL,GLYCEROL,416
VINDESINE SULFATE,VINDESINE,61
ACCUPRIL,QUINAPRIL,5982
NAPROSYN,NAPROXEN,4604
IMODIUM,LOPERAMIDE,6465
TRIMEBUTINE MALEATE,TRIMETHADIONE,196
METHYLPHENIDATE - SLOW RELEASE (METHYLPHENIDATE HYDROCHLORIDE),METHYLPHENIDATE,1
NICOTINIC ACID,NIACIN,488
TIKOSYN,DOFETILIDE,3213
PENTAMIDINE ISETHIONATE,PENTAMIDINE,838
MAVIK,TRANDOLAPRIL,1447
DIOSMINE,PRIMIDONE,102
IBUPROFENE,IBUPROFEN,110
LEXOMIL,BROMAZEPAM,2673
MEVACOR,LOVASTATIN,1456
SANDOSTATIN,OCTREOTIDE,2480
TRANDATE,LABETALOL,490
URSODIOL (URSODEOXYCHOLIC ACID),URSODEOXYCHOLIC ACID,85
LIPOSTAT,PRAVASTATIN,15
NEOTIGASON,ACITRETIN,120
ROACCUTANE,TRETINOIN,1515
CORTANCYL,PREDNISONE,3888
ACECOL,TEMOCAPRIL,542
FRANDOL,NITROFURAZONE,698
HORIZON,AMITRIPTYLINE,272
MEIACT,CEFDITOREN,587
DASEN,CAFFEINE,742
TRANSAMIN,TRANEXAMIC ACID,968
DUOVENT,FAMOTIDINE,407
VALACYCLOVIR HCL,VALACICLOVIR,1181
ELLENCE,EPIRUBICIN,133
NICARDIPINE HYDROCHLORIDE,NICARDIPINE,876
DESMOPRESSIN ACETATE,DESMOPRESSIN,947
AMOXIL,AMOXICILLIN,931
BIAXIN,CLARITHROMYCIN,3146
EPRAZINONE  HYDROCHLORIDE,PYRAZINAMIDE,1
TEMOCAPRIL HYDROCHLORIDE,TEMOCAPRIL,76
ROHYPNOL (FLUNITRAZEPAM),FLUNITRAZEPAM,232
ARTHROTEC,MISOPROSTOL,3635
CYTOXAN,CYCLOPHOSPHAMIDE,4525
"ACEPROMAZINE, ACEPROMETAZINE, CLORAZEPATE DIPOTASSIUM (NOCTRAN)",ACEPROMAZINE,1
BROMAZEPAM (LEXOMIL),BROMAZEPAM,2
FOLIC ACID (SPECIAFOLDINE),FOLIC ACID,1
FOSFOMYCIN SODIUM (FOSFOCINE) POWDER AND SOLVENT FOR INFUSION,FOSFOMYCIN,1
GLYCERYL TRINITRATE (NITRIDERM TTS),NITROGLYCERIN,1
MIANSERIN HYDROCHLORIDE (ATHYMIL 30 MG),MIANSERIN,1
PARACETAMOL (DAFALGAN),ACETAMINOPHEN,1
STADOL,BUTORPHANOL,2007
BARBITURATES (),PHENOBARBITAL,15
TETRAHYDROCANNABINOL (TETRAHYDROCANNABINOL),TACRINE,75
ALBUTEROL SULFATE,SALBUTAMOL,3010
AZULFIDINE,SULFASALAZINE,2509
LOPINAVIR/RITONAVIR (LOPINAVIR/RITONAVIR) (LOPINAVIR/RITONAVIR),LOPINAVIR,2
ROBITUSSIN-DM,GUAIFENESIN,83
SYNTHROPID (LEVOTHYROXINE SODIUM),LEVOTHYROXINE,1
VITAMIN B,FOLIC ACID,1360
ANGIOMAX,BIVALIRUDIN,1844
HEPARIN SODIUM,HEPARIN,8946
REOPRO,ABCIXIMAB,2153
SPIRONOLACTONE + THIAZIDE,SPIRONOLACTONE,1
COGENTIN,BENZATROPINE,2768
DOXEPIN HCL,DOXEPIN,2797
IMITREX ^GLAXO^ (SUMATRIPTAN),SUMATRIPTAN,24
LIBRIUM ^HOFFMAN^ (CHLORDIAZEPOXIDE HYDROCHLORIDE) TABLET,CHLORDIAZEPOXIDE,2
MAXALT,RIZATRIPTAN,2289
MELLARIL,THIORIDAZINE,552
THIAMINE (THIAMINE),THIAMINE,196
TRIMOX,AMOXICILLIN,426
TYLENOL W/ CODEINE NO. 3,ACETAMINOPHEN,3200
ETHANOL(ETHANOL),ETHANOL,110
DOXIL,DOXORUBICIN,3541
VINCRISTINE SULFATE,VINCRISTINE,5041
BISMUTH SUBSALICYLATE IN OIL INJ,BISMUTH SUBSALICYLATE,28
CITALOPRAM (CITALOPRAM),CITALOPRAM,284
QUETIAPINE FUMARATE (QUETIAPINE FUMARATE),QUETIAPINE,110
DTIC-DOME,DACARBAZINE,110
TADENAN,EPINEPHRINE,148
DARCABAZINE,DACARBAZINE,1
BENADRYL ^ACHE^,DIPHENHYDRAMINE,441
ESKALITH,LITHIUM,554
GABITRIL                                /SCH/,TIAGABINE,1
PROLIXIN,FLUPHENAZINE,497
XOLAIR,OMALIZUMAB,14090
XOPENEX,SALBUTAMOL,5547
MOBAN,MOLINDONE,56
PIRARUBICIN,EPIRUBICIN,175
"HEPARIN-FRACTION, SODIUM SALT (HEPARIN-FRACTION, SODIUM SALT)",DALTEPARIN,51
MACROGOL (MACROGOL),POLIDOCANOL,130
RISEDRONATE SODIUM (RISEDRONATE SODIUM),RISEDRONATE,102
VFEND,VORICONAZOLE,5917
QUETIAPINE FUMARATE  (QUETIAPINE FUMARATE),QUETIAPINE,2
VIBRA-TABS,DOXYCYCLINE,24
THYROID TAB,LEVOTHYROXINE,4728
KEPPRA,LEVETIRACETAM,19758
SERZONE,NEFAZODONE,2300
DYNACIRC,ISRADIPINE,462
SANDOMIGRAN,THALIDOMIDE,38
TICPILONE,TICLOPIDINE,5
AMOXICILLIN TRIHYDRATE/CLAVULANATE POTASSIUM,AMOXICILLIN,4
ANZEMET (DOLASETRON MESILATE),DOLASETRON,87
VENTOLINE INHALATOR (SALBUTAMOL),SALBUTAMOL,6
NORDITROPIN,SOMATROPIN RECOMBINANT,951
GENOTROPIN,SOMATROPIN RECOMBINANT,3745
VALDECOXIB TABLET,VALDECOXIB,1
AMOXIL ^PLIVA^,AMOXICILLIN,5
BIAXIN XL,CLARITHROMYCIN,521
CRISOPRODOL,CARISOPRODOL,9
MARCAINE,BUPIVACAINE,1206
NATALIZUMAB VS. PLACEBO,NATALIZUMAB,7
PROVIGL,MODAFINIL,1
SYPHEDRINE,AMPHETAMINE,7
TIAZAC,DILTIAZEM,1735
VERSED,MIDAZOLAM,3068
METHYLCELLULOSE,METHYCLOTHIAZIDE,125
VALSARTAN/HCTZ,VALSARTAN,7
DELTA-CORTEF,PREDNISONE,122
DEMEROL /CAN/,MEPERIDINE,7
TORADOL,KETOROLAC,2428
LIDINOPRIL,LISINOPRIL,1
CORICIDIN D SRT,ACETYLSALICYLIC ACID,66
AMANTADINE HCL,AMANTADINE,3315
DARVOCCET,ACETAMINOPHEN,1
MACRODANTIN,NITROFURANTOIN,993
CLINDAMYCIN HCL,CLINDAMYCIN,2525
ROGAINE,MINOXIDIL,816
(OXALIPLATIN) - SOLUTION - 85 MG/M2,OXALIPLATIN,59
AVASTIN,BEVACIZUMAB,25384
MARIJUANA,CINNARIZINE,1400
(OXALIPLATIN) - SOLUTION - 130 MG/M2,OXALIPLATIN,44
CAPECITABINE - TABLET - 100 MG/M2,CAPECITABINE,1
CYCLOBENZAPR,CYCLOBENZAPRINE,47
ETODOLAC (HYPEN),ETODOLAC,2
IRSOGLADINE MALEATE (GASLON),RABEPRAZOLE,1
METOPROLOL TARTRATE (LOPRESOR),METOPROLOL,1
METOPROLOL TARTRATE (SELOKEN),METOPROLOL,6
CALCIUM CARBONATE (CALCIDIA) GRANULES,CALCIUM CARBONATE,1
FERROUS SULFATE (FERO-GRAD) COATED TABLETS,IRON,1
ISOPHANE INSULIN (UMULINE PROTAMINE ISOPHANE) SUSPENSION FOR INJECTION,"INSULIN, ISOPHANE",1
KETOPROFEN (PROFENID ^PHARMA RHODIA^) GEL,KETOPROFEN,1
MACROGOL (FORLAX),POLIDOCANOL,1
MYCOPHENOLATE MOFETIL (CELLCEPT),MYCOPHENOLATE MOFETIL,2125
"SODIUM BICARBONATE, SODIUM ALGINATE (GAVISCON)",SODIUM BICARBONATE,1
"HYDROCHLOROTHIAZIDE,VALSARTAN(COTAREG)",HYDROCHLOROTHIAZIDE,1
"LEVODOPA, BENSERAZIDE HYDROCHLORIDE (MODOPAR)",LEVODOPA,1
PERGOLIDE MESILATE (CELANCE) TABLETS,PERGOLIDE,1
SECTRAL,ACEBUTOLOL,1436
TESTOSTERONE ENANTATE (ANDROTARDYL),TESTOSTERONE,1
AMOXICILLIN TRIHYDRATE,AMOXICILLIN,1081
RIFAMPICIN,RIFAMPIN,3157
FUCIDINE CAP,FUSIDIC ACID,520
AERIUS (DESLORATADINE),DESLORATADINE,77
DIPROSONE,BETAMETHASONE,322
PROTOPIC,TACROLIMUS,1420
"FOSFOCIN (FOSFOMYCIN SODIUM, )",FOSFOMYCIN,1
LEXOMIL (BROMAZEPAM),BROMAZEPAM,337
DOXORUBICIN HYDROCHLORIDE,DOXORUBICIN,4015
GRANISETRON (GRANISETRON),GRANISETRON,95
TRIMETAZIDINE HYDROCHLORIDE,METOCURINE IODIDE,233
ISOPTIN SR,VERAPAMIL,338
SUMATRIPTAN SUCCINATE,SUMATRIPTAN,1843
ETHAMBUTOL DIHYDROCHLORIDE (ETAPIAM),ETHAMBUTOL,1
RIFATER,ISONIAZID,411
